val_cosine_similarity,step,val_loss,epoch,val_mse_loss,train_loss_epoch,train_loss_step
0.07218378037214279,7,3.776670455932617,0,0.006356254685670137,,
,7,,0,,3.9420814514160156,
0.10021955519914627,15,3.661071300506592,1,0.006551471538841724,,
,15,,1,,3.5886011123657227,
0.1213340237736702,23,3.588789701461792,2,0.0062912022694945335,,
,23,,2,,3.3919544219970703,
0.14105720818042755,31,3.522171974182129,3,0.005757168401032686,,
,31,,3,,3.2099058628082275,
0.15393082797527313,39,3.4567716121673584,4,0.0052402629517018795,,
,39,,4,,3.0500662326812744,
0.16864246129989624,47,3.4049184322357178,5,0.004925493150949478,,
,47,,5,,2.9107913970947266,
,49,,6,,,2.847546339035034
0.18111258745193481,55,3.377044200897217,6,0.00471392460167408,,
,55,,6,,2.7777960300445557,
0.19269882142543793,63,3.3241353034973145,7,0.0045127589255571365,,
,63,,7,,2.6588525772094727,
0.20248208940029144,71,3.2943525314331055,8,0.004384009167551994,,
,71,,8,,2.5489413738250732,
0.20898021757602692,79,3.276654005050659,9,0.004243684001266956,,
,79,,9,,2.4516706466674805,
0.21479375660419464,87,3.2772514820098877,10,0.00411325553432107,,
,87,,10,,2.3520877361297607,
0.21965231001377106,95,3.232296943664551,11,0.004018393810838461,,
,95,,11,,2.269531726837158,
,99,,12,,,2.164358377456665
0.22384876012802124,103,3.2235467433929443,12,0.0039161210879683495,,
,103,,12,,2.1823413372039795,
0.22599560022354126,111,3.21769642829895,13,0.003826006082817912,,
,111,,13,,2.1174118518829346,
0.2279338836669922,119,3.227872133255005,14,0.003755753394216299,,
,119,,14,,2.0359857082366943,
0.22911453247070312,127,3.209686517715454,15,0.003686276962980628,,
,127,,15,,1.964200735092163,
0.23016411066055298,135,3.221651792526245,16,0.0036419390235096216,,
,135,,16,,1.9194246530532837,
0.22909164428710938,143,3.214015245437622,17,0.0035810607951134443,,
,143,,17,,1.8417850732803345,
,149,,18,,,1.7722439765930176
0.2265796810388565,151,3.221625566482544,18,0.003546597436070442,,
,151,,18,,1.804749846458435,
0.2247389853000641,159,3.2239174842834473,19,0.0035089226439595222,,
,159,,19,,1.747674584388733,
